Taxon A	Taxon B	FlashWeave	FlashWeaveHE	SpiecEasi	FastSpar	PropR	Spearman	Pearson	Jaccard	Num supporting methods	Prevalence A (%)	Prevalence B (%)	Mean Abundance A	Mean Abundance B	Max Abundance A	Max Abundance B	Abundance B at Max A	Abundance A at Max B	Sample at Max A	Sample at Max B	Inter phylum	Taxonomy A	Taxonomy B	Community A	Community B	Inter community
otu_157	otu_850	0.9985015392303468		0.422644074024668		0.999734628109307	1.0	0.9703355070500368	1.0	6	10.0	10.0	0.0135633175	0.0149864055	0.14507858	0.19657786	0.19657786	0.14507858	Sample19	Sample19	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__Bathycorpusculum;s__	d__Bacteria;p__Patescibacteriota;c__Kazan-3B-28;o__Kazan-3B-28;f__Kazan-3B-28;g__;s__	5	5	False
otu_519	otu_691	0.998405694961548		0.621342825447128		0.999045089851735	1.0	0.9950580850718448	1.0	6	10.0	10.0	0.0099794634	0.00991606485	0.18395597	0.16735107	0.16735107	0.18395597	Sample5	Sample5	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__;s__	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	14	14	False
otu_160	otu_881	0.998051643371582		0.356113074280007		0.998398235654757	0.984549356223176	0.949997250031533	1.0	6	50.0	50.0	0.133026817	0.12357329955	1.2912743	1.6093513	1.6093513	1.2912743	Sample9	Sample9	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__DASPPK01;s__	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__;s__	12	12	False
otu_329	otu_68	0.997795045375824		0.760099840367777		0.996748815361394	0.981941309255079	0.985180441363982	1.0	6	90.0	90.0	0.0604395385	0.08118595070000001	0.24523488	0.37872854	0.37872854	0.24523488	Sample9	Sample9	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__LJUQ01;s__	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__	6	6	False
otu_1	otu_161	0.9973101019859314		0.374964496253575		0.998035114056981	0.9958592132505176	0.801118557473593	1.0	6	35.0	35.0	0.01429616555	0.01694630435	0.14072034	0.14129484	0.09087027	0.059698638	Sample10	Sample17	True	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__;s__	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__DASPPK01;s__	2	2	False
otu_234	otu_386	0.9972949028015136		0.392749060749388		0.997238583742093	1.0	0.9995202838287884	1.0	6	10.0	10.0	0.018733019	0.0115590482	0.34685522	0.22033527	0.22033527	0.34685522	Sample3	Sample3	True	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp041479075	3	3	False
otu_489	otu_80	0.9970452785491944		0.314349122635458		0.995960866707629	0.9747747747747748	0.7939121371333081	1.0	6	45.0	45.0	0.01747077255	0.028559677299999996	0.10433096	0.1280996	0.08433744	0.03856883	Sample19	Sample7	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__FEB-25;s__	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__	2	2	False
otu_190	otu_204	0.996207356452942		0.772773275734397		0.994787006376631	0.9683972911963884	0.988998741087174	1.0	6	90.0	90.0	0.07772275725	0.0505499696	0.26000014	0.18217662	0.18217662	0.26000014	Sample19	Sample19	False	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__JADGNF01;s__	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__JBGQMW01;s__	16	16	False
otu_444	otu_67	0.9948227405548096		0.421738767079245		0.999397393710838	0.9922077922077922	0.998257265231058	1.0	6	25.0	25.0	0.01920804725	0.0229965006	0.2884074	0.36670834	0.36670834	0.2884074	Sample3	Sample3	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__DRKV01;g__;s__	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__	0	0	False
otu_300	otu_74	0.9932207465171814		0.437267917634629		0.993671003120178	0.9444444444444444	0.8905530341875627	1.0	6	40.0	40.0	0.030996786600000003	0.014287546600000003	0.15739419	0.11052493	0.07127861	0.15585046	Sample14	Sample7	True	d__Bacteria;p__Actinomycetota;c__Humimicrobiia;o__Humimicrobiales;f__Humimicrobiaceae;g__JAHILC01;s__JAHILC01 sp018897225	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__MVRE01;s__	2	2	False
otu_31	otu_727	0.9883054494857788		0.500533195256276		0.990308088604555	0.9321266968325792	0.9706468362560952	1.0	6	85.0	85.0	0.03697287875000001	0.0444386471	0.15788071	0.17533588	0.17533588	0.15788071	Sample20	Sample20	True	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__MWEI01;s__	1	1	False
otu_125	otu_270	0.9869689941655831		0.6304230524673		0.99944848421964	1.0	0.9725732769530732	1.0	6	20.0	20.0	0.0114545953	0.0130064173	0.11802197	0.1081644	0.1081644	0.11802197	Sample13	Sample13	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__;s__	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__VFZS01;s__	5	5	False
otu_497	otu_72	0.9843923449516296		0.581971314387579		0.999735584347056	1.0	0.9873067325254876	1.0	6	15.0	15.0	0.0114953828	0.012292950249999999	0.14467816	0.13606246	0.13606246	0.14467816	Sample19	Sample19	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__MVRE01;s__	5	5	False
otu_636	otu_753	0.9773643612861632		0.673950939438679		0.938635572714071	0.9338993318090392	0.9889941105946888	0.9	6	50.0	45.0	0.01607804845	0.04106913625	0.17846343	0.4387696	0.4387696	0.17846343	Sample17	Sample17	True	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SZUA-161;f__SZUA-161;g__;s__	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__JAPLJS01;s__JAPLJS01 sp026388545	2	2	False
otu_432	otu_885	0.9745474457740784		0.565326760318702		0.99885963021356	1.0	0.996164124060008	1.0	6	15.0	15.0	0.015548597349999999	0.01674883345	0.15979187	0.16535462	0.16535462	0.15979187	Sample20	Sample20	True	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__JBGQAS01;s__	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__;s__	5	5	False
otu_346	otu_643	0.9697880744934082		0.770297031350885		0.997754634522466	0.9644787644787643	0.9478946081546088	1.0	6	70.0	70.0	0.025838673299999997	0.0409104792	0.10647859	0.17627868	0.17627868	0.10647859	Sample18	Sample18	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SZUA-161;f__SZUA-161;g__JACWAE01;s__	13	13	False
otu_359	otu_871	0.9681366682052612		0.470677780741314		0.910943513731989	0.9495583431403816	0.9239178984723184	0.8571428571428572	6	35.0	30.0	0.043070897749999996	0.036109935600000004	0.2794924	0.26138988	0.26138988	0.2794924	Sample19	Sample19	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__UBA6257;g__JAAZNP01;s__	1	1	False
otu_730	otu_808	0.9582207798957824		0.318781156355205		0.994097007488899	0.9450381679389313	0.9605680301078394	1.0	6	75.0	75.0	0.05200100114999999	0.0337328254	0.2321232	0.1182664	0.109922834	0.21379253	Sample19	Sample20	True	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGDM01;s__	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__	1	1	False
otu_80	otu_869	0.9548454284667968		0.404162361307153		0.92505586530346	0.9532456456506576	0.9175391296964186	0.9	6	45.0	50.0	0.028559677299999996	0.026684457199999994	0.1280996	0.1410378	0.107768856	0.11559452	Sample7	Sample18	True	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA6257;f__GWB1-50-10;g__JBBTQX01;s__	2	2	False
otu_275	otu_588	0.9530172944068908		0.503485374283229		0.907749869271572	0.9185905150407444	0.9979398482719308	0.8333333333333334	6	30.0	25.0	0.0108506268	0.008458429	0.15180002	0.116263285	0.116263285	0.15180002	Sample8	Sample8	True	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__JALHUF01;s__JALHUF01 sp022866195	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	7	7	False
otu_232	otu_891	0.9498838186264038		0.325654531611142		0.902206310517107	0.957645598352608	0.93904906976707	0.9090909090909092	6	55.00000000000001	50.0	0.0467490096	0.0214330464	0.24048685	0.13283531	0.080098204	0.2083091	Sample20	Sample8	True	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__JALHVH01;s__	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__CAIYOL01;s__	10	10	False
otu_311	otu_717	0.9497567415237428		0.383097847205658		0.882188615713812	0.9186760810671656	0.9745470533851512	0.9285714285714286	6	65.0	70.0	0.02816972145	0.02080387005	0.27797997	0.24119374	0.24119374	0.27797997	Sample8	Sample8	True	d__Bacteria;p__Atribacterota;c__JS1;o__SB-45;f__34-128;g__CG2-30-33-13;s__	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	16	16	False
otu_592	otu_95	0.946793019771576		0.582064903643474		0.878432383827924	0.8892520625611339	0.9793621653482716	0.75	6	15.0	20.0	0.0070942537	0.0089321837	0.12446317	0.120423496	0.120423496	0.12446317	Sample13	Sample13	True	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Pacearchaeales;f__GW2011-AR1;g__MWBV01;s__	9	9	False
otu_4	otu_687	0.9457321166992188		0.37482488121303		0.869564522915509	0.9387755102040816	0.8688881066474855	0.8571428571428572	6	65.0	65.0	0.032926732400000006	0.05352252889999999	0.13595968	0.30500108	0.08758675	0.1160024	Sample5	Sample6	True	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JBFMAE01;s__	2	2	False
otu_124	otu_892	0.9456105828285216		0.378862005948777		0.914898863433612	0.9429153493048852	0.925106549437577	0.9230769230769232	6	65.0	60.0	0.05208218415	0.03631024165	0.27151525	0.2010525	0.2010525	0.27151525	Sample13	Sample13	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__;s__	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__CAIYOL01;s__	6	6	False
otu_164	otu_783	0.9395765662193298		0.413500247060646		0.897168060002018	0.9354182990844536	0.9969648098451468	0.8571428571428572	6	35.0	30.0	0.007943775900000002	0.0109013754	0.10472861	0.14444034	0.14444034	0.10472861	Sample3	Sample3	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__DASPPK01;s__	d__Bacteria;p__Desulfobacterota_G;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus;s__	3	3	False
otu_376	otu_746	0.8925159573554993		0.433973610839198		0.863036824642998	0.8582593357267436	0.9574683568172327	0.9090909090909092	6	55.00000000000001	50.0	0.017282493899999998	0.01413227815	0.15730904	0.15739901	0.15739901	0.15730904	Sample8	Sample8	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__Fen-1135;s__	16	16	False
otu_439	otu_550	0.8888479471206665		0.551838936396647		0.899741671747312	0.9694371888336428	0.9343513328134596	0.9090909090909092	6	55.00000000000001	50.0	0.02423474775	0.0224568926	0.11331992	0.10104415	0.08401884	0.06351382	Sample19	Sample14	False	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Pelolinea;s__	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__	4	4	False
otu_735	otu_874	0.8795170187950134		0.342666658620753		0.853716497877107	0.8637379277739683	0.9486115625856594	0.9333333333333332	6	75.0	70.0	0.04621144995	0.031945255799999996	0.34888652	0.2565288	0.2565288	0.34888652	Sample1	Sample1	True	d__Bacteria;p__Desulfobacterota;c__SM23-61;o__SM23-61;f__SM23-61;g__JAHJQK01;s__JAHJQK01 sp030654105	d__Bacteria;p__Patescibacteriota;c__Patescibacteriia;o__2-12-FULL-60-25;f__2-12-FULL-60-25;g__;s__	12	12	False
otu_421	otu_506	0.867814302444458		0.376069832724295		0.788858987738713	0.9468883971184971	0.9132160838628146	0.875	6	70.0	80.0	0.06969184945000001	0.04649100925000001	0.41604295	0.19927125	0.1757997	0.17161201	Sample1	Sample3	True	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__	15	15	False
otu_532	otu_69	0.8493780493736267		0.791230094261393		0.906641701839682	0.947382951747162	0.999562259595363	0.8571428571428572	6	35.0	30.0	0.0164740055	0.014656396800000002	0.24658702	0.22474325	0.22474325	0.24658702	Sample8	Sample8	True	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Fen-1064;g__JAURWL01;s__	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanoregula;s__	7	7	False
otu_14	otu_881	0.8484054207801819		0.775255028159606		0.869453583632224	0.90493488249991	0.9960323625842924	0.8	6	40.0	50.0	0.23177377465	0.12357329955	3.037251	1.6093513	1.6093513	3.037251	Sample9	Sample9	True	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerobacaceae;g__;s__	12	12	False
otu_174	otu_272	0.8275545835494995		0.635608062460863		0.82563714666153	0.8857919378040867	0.9866103535851444	0.75	6	20.0	15.0	0.007847612950000001	0.00711515435	0.11032546	0.11592302	0.11592302	0.11032546	Sample8	Sample8	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__DASPPK01;s__	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__;g__;s__	14	14	False
otu_2	otu_738	0.8261896967887878		0.313284344020885		0.733425155735435	0.8817200568773805	0.9638598561618382	0.7272727272727273	6	40.0	55.00000000000001	0.022929964650000002	0.02470087755	0.122714415	0.12618753	0.08965597	0.11971314	Sample20	Sample13	True	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	d__Bacteria;p__Desulfobacterota;c__SM23-61;o__SM23-61;f__SM23-61;g__JAHJQK01;s__JAHJQK01 sp030654105	5	5	False
otu_31	otu_808	0.8165594935417175		0.419390635395057		0.753440429353591	0.9575290199265366	0.9635930588616284	0.8823529411764706	6	85.0	75.0	0.03697287875000001	0.0337328254	0.15788071	0.1182664	0.1182664	0.15788071	Sample20	Sample20	True	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Fen-1308;s__	1	1	False
otu_169	otu_345	0.8150997757911682		0.430025652366011		0.760556901271087	0.9037319623836766	0.981621436625156	0.7692307692307692	6	50.0	65.0	0.014388513350000003	0.07294469519999999	0.13019304	0.82527214	0.82527214	0.13019304	Sample13	Sample13	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Bathyarchaeales;f__Bathycorpusculaceae;g__DASPPK01;s__	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	9	9	False
otu_125	otu_677	0.803369402885437		0.537520370989628		0.869387789602496	0.9102984986494026	0.9828330810760684	0.8	6	20.0	25.0	0.0114545953	0.012601892950000002	0.11802197	0.14818168	0.14818168	0.11802197	Sample13	Sample13	True	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__40CM-2-53-6;f__40CM-2-53-6;g__;s__	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__JACAEX01;s__	5	0	True
otu_103	otu_44	0.7987143993377686		0.310538255509906		0.763189476818433	0.8087899795620036	0.7085482747990044	0.7	6	35.0	50.0	0.02438679055	0.04147472435	0.13277389	0.5099963	0.5099963	0.13277389	Sample2	Sample2	True	d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__SM1-50;s__	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	15	15	False
otu_227	otu_343	0.7806098461151123		0.684017125253422		0.888851966736849	0.9169274722420868	0.9963945592849808	0.8571428571428572	6	30.0	35.0	0.0215719756	0.025923575899999995	0.27481169	0.33314136	0.33314136	0.27481169	Sample13	Sample13	True	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__JAFGAV01;g__JBGOXI01;s__	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	0	0	False
otu_230	otu_536	0.7792466282844543		0.883499355690973		0.89222937481267	0.98888395642033	0.9991015278749928	0.9333333333333332	6	75.0	70.0	0.04772488885	0.03483649465000001	0.30524716	0.22189161	0.22189161	0.30524716	Sample13	Sample13	True	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__JALHVH01;s__	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__JAFGLR01;g__JAFGLR01;s__	13	13	False
otu_29	otu_444	0.7296852469444275		0.546463634750351		0.827112849156109	0.8742535813868718	0.9699715587993892	0.7142857142857143	6	35.0	25.0	0.02703615145	0.01920804725	0.29676354	0.2884074	0.2884074	0.29676354	Sample3	Sample3	True	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__Aenigmatarchaeaceae;g__;s__	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__DRKV01;g__;s__	0	0	False
otu_288	otu_3	0.7283354811053977		0.383374274495284		0.874574514192532	0.9750641495759464	0.9755360404131564	0.9333333333333332	6	70.0	75.0	0.0240307247	0.038414375300000005	0.13579175	0.23544781	0.23544781	0.13579175	Sample13	Sample13	True	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Anaerosomatales;f__;g__;s__	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__	9	9	False
otu_387	otu_698	0.7082593441009521		0.366517433692303		0.89441856890769	0.901699732489549	0.9168174121661689	0.8571428571428572	6	30.0	35.0	0.012043944849999998	0.010386403150000001	0.1269913	0.103474565	0.103474565	0.1269913	Sample13	Sample13	True	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp041479075	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	9	9	False
otu_54	otu_863	0.701359212398529		0.3509155859621		0.724122541627527	0.8774654566649867	0.9630501307153604	0.7692307692307692	6	50.0	65.0	0.015092692599999995	0.014447456749999999	0.11488305	0.108845286	0.108845286	0.11488305	Sample8	Sample8	True	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Minisyncoccales;f__GBS-2;g__;s__	11	11	False
